"/Vout (b0=0,b1=0,b2=0) X","/Vout (b0=0,b1=0,b2=0) Y","/Vout (b0=1,b1=0,b2=0) X","/Vout (b0=1,b1=0,b2=0) Y","/Vout (b0=0,b1=1,b2=0) X","/Vout (b0=0,b1=1,b2=0) Y","/Vout (b0=1,b1=1,b2=0) X","/Vout (b0=1,b1=1,b2=0) Y","/Vout (b0=0,b1=0,b2=1) X","/Vout (b0=0,b1=0,b2=1) Y","/Vout (b0=1,b1=0,b2=1) X","/Vout (b0=1,b1=0,b2=1) Y","/Vout (b0=0,b1=1,b2=1) X","/Vout (b0=0,b1=1,b2=1) Y","/Vout (b0=1,b1=1,b2=1) X","/Vout (b0=1,b1=1,b2=1) Y","/Vin (b0=0,b1=0,b2=0) X","/Vin (b0=0,b1=0,b2=0) Y"
1.678659487371064e-10,0.0002165034754960478,1.848159118551048e-10,1.780552829723546e-05,1.848332315391309e-10,1.789541437454941e-05,1.939393992498068e-10,2.988995301270061e-05,1.848419327569828e-10,1.794058964693364e-05,1.93947175224525e-10,2.9971253583449e-05,1.939626808813942e-10,3.013279669041643e-05,1.946456679489447e-10,0.00022151060730586,1.678659487371064e-10,0.923262718054085
1.714237036098817e-10,3.484103697691402e-05,1.920611699914322e-10,6.656283075642529e-06,1.920763599633991e-10,6.636504338177742e-06,2e-10,1.179590461243785e-05,1.920839975889261e-10,6.626344461127401e-06,2e-10,1.183146786466451e-05,2e-10,1.190242105630055e-05,2e-10,6.742733184031955e-05,1.714237036098817e-10,0.9428303698543494
1.773144611086087e-10,-1.901352094078618e-06,2e-10,6.366756268031732e-06,2e-10,6.354327649336658e-06,2.03387193005194e-10,2.17869139061382e-05,2e-10,6.347716343402807e-06,2.033859597763517e-10,2.182956097380155e-05,2.033835046846157e-10,2.191388190505924e-05,2.029408106152003e-10,5.729264729768231e-05,1.773144611086087e-10,0.9752295360973477
1.838211556076977e-10,4.586610817596481e-06,2.040865457510966e-10,1.333772704799602e-05,2.040826285531159e-10,1.343798101408463e-05,2.074965261130681e-10,2.836510136482786e-05,2.040806575539317e-10,1.348804197982916e-05,2.074931914676891e-10,2.841340860552429e-05,2.074865454850904e-10,2.85083234707313e-05,2.067233185232875e-10,4.633266544176173e-05,1.838211556076977e-10,1.011016355842337
1.915272805396988e-10,-4.945704324808045e-07,2.089317180250551e-10,1.827336293587558e-05,2.089234491719569e-10,1.845194444133689e-05,2.114685309462006e-10,1.50962355437281e-05,2.089192896296321e-10,1.854122933051711e-05,2.114628463150202e-10,1.513299197685232e-05,2.114515131510634e-10,1.521479862854576e-05,2.103799026635601e-10,2.673574870615475e-05,1.915272805396988e-10,1.053400042968343
2e-10,7.251439822981816e-07,2.135667594507259e-10,6.560562136489135e-06,2.135538818211176e-10,6.666422030617198e-06,2.194125406124657e-10,-1.987617391682923e-06,2.135474037309681e-10,6.719533155001143e-06,2.194021560096823e-10,-1.988444972830862e-06,2.193814484830096e-10,-2.004366480584151e-06,2.176930709441054e-10,6.6273135862215e-07,2e-10,1.1
2.039232842202333e-10,-1.665143716550396e-06,2.228368423020676e-10,-2.275572842231239e-06,2.228147471194392e-10,-2.291558017055532e-06,2.285256393945767e-10,1.872966975313275e-06,2.228036319336402e-10,-2.299950198954349e-06,2.285125823949231e-10,1.851052647686805e-06,2.284860154581203e-10,1.811329343525089e-06,2.265323640068286e-10,1.639134726846088e-06,2.039232842202333e-10,1.1
2.088982549393865e-10,1.122433544957813e-06,2.327001542583527e-10,1.934161057195003e-06,2.326650738364225e-10,1.923884396845375e-06,2.412047418584874e-10,-7.464334403994467e-07,2.326474685412914e-10,1.920573849264439e-06,2.411846817723431e-10,-7.623185222640358e-07,2.41143074739042e-10,-7.933125086164483e-07,2.386128357158588e-10,-2.765657937176859e-07,2.088982549393865e-10,1.1
2.136368679223754e-10,2.119487125516908e-06,2.47085565046006e-10,-1.064519190133914e-06,2.470162842746534e-10,-1.083441334775592e-06,2.597012705428988e-10,1.096316807020746e-06,2.469816730978265e-10,-1.084726720494883e-06,2.59663975417685e-10,1.090031732497274e-06,2.595923270145119e-10,1.056677265823435e-06,2.559503021990818e-10,1.114140335976477e-06,2.136368679223754e-10,1.1
2.231140938883533e-10,-5.643139289484413e-07,2.690157593681211e-10,1.222771523163241e-06,2.688732559551395e-10,1.238631147350516e-06,2.966943279117215e-10,-4.218761602248382e-07,2.688019603427053e-10,1.233464908884919e-06,2.96622562708369e-10,-4.499752954210759e-07,2.964908315654517e-10,-4.750351574669388e-07,2.89289370936948e-10,-1.526601442081927e-07,2.231140938883533e-10,1.1
2.355599848348382e-10,7.484139766965306e-07,3.128761480123513e-10,-7.391064362812644e-07,3.125871993161117e-10,-7.520625991426619e-07,3.706804426493669e-10,9.471836108220011e-07,3.124425348324628e-10,-7.517828760688971e-07,3.705397372897368e-10,9.501466018021016e-07,3.702878406673313e-10,9.176349380814259e-07,3.559675084126805e-10,1.012063722888345e-06,2.355599848348382e-10,1.1
2.552619117953537e-10,-2.465881353235346e-07,4.005969253008116e-10,1.082222373696552e-06,4.00015086038056e-10,1.08952659541162e-06,5.186526721246578e-10,-3.816270284605514e-07,3.997236838119778e-10,1.083817713413694e-06,5.183740864524725e-10,-4.052082708743935e-07,5.178818588710905e-10,-4.194266464445805e-07,4.893237833641453e-10,-1.138564824144915e-07,2.552619117953537e-10,1.1
2.876353618526313e-10,5.706138016478816e-07,5.760384798777322e-10,-6.894371377626973e-07,5.748708594819446e-10,-6.832490347234562e-07,8.145971310752397e-10,8.8031253886858e-07,5.742859817710078e-10,-6.808686599703402e-07,8.14042784777944e-10,8.936078785692411e-07,8.130698952786088e-10,8.764409110597849e-07,7.56036333267075e-10,9.289898732655617e-07,2.876353618526313e-10,1.1
3.523822619671863e-10,-1.592746729298507e-07,7.757055055693496e-10,9.639730704435432e-07,9.24582406369722e-10,1.050665339072111e-06,1.091476008474165e-09,-4.076541985274377e-07,9.234105776890679e-10,1.04819270528344e-06,1.097792866036297e-09,-4.163410326879224e-07,1.403445968093645e-09,-4.232904271457616e-07,1.289461433072934e-09,-1.656284175961543e-07,3.523822619671863e-10,1.1
4.818760621962965e-10,5.306090688148227e-07,1.006211163413496e-09,-6.465247490130771e-07,1.332745310026497e-09,-6.791504619740345e-07,1.442533991519088e-09,8.297501946540297e-07,1.621659769525188e-09,-6.652611198095292e-07,1.465184687151852e-09,8.552014101427235e-07,1.961111507973975e-09,8.497640370333873e-07,1.667054446837245e-09,8.50650998231008e-07,4.818760621962965e-10,1.1
7.408636626545168e-10,-1.401308170180969e-07,1.191054515350868e-09,1.194480534457053e-06,1.828476762818567e-09,1.024462156584079e-06,1.705471999632452e-09,-3.424276403122344e-07,2.466970822391676e-09,1.033770384061113e-06,1.737934905198868e-09,-3.45636830868066e-07,2.703541133197343e-09,-4.298185850680884e-07,2.08092920198115e-09,-2.642891204095209e-07,7.408636626545168e-10,1.1
1.258838863570957e-09,5.212448792864928e-07,1.368960539594904e-09,-7.766147109092816e-07,2.203942279038763e-09,-5.873572806349174e-07,2.025211143157946e-09,6.976091240494707e-07,3.500543990759512e-09,-6.607905514251554e-07,2.049274722072592e-09,7.247657315640974e-07,3.232820682666605e-09,8.405599271529699e-07,2.460775373768055e-09,7.402211570166773e-07,1.258838863570957e-09,1.1
2.294789265403838e-09,-1.354998013346435e-07,1.576076882017081e-09,1.226976332382046e-06,2.572324695540126e-09,9.519579645817288e-07,2.277983766479105e-09,-2.532667070847631e-07,4.259900406631437e-09,1.043117268062425e-06,2.324305418953755e-09,-2.86610959756478e-07,3.885649782463933e-09,-4.554439679983279e-07,2.85673541997437e-09,-3.03266106636733e-07,2.294789265403838e-09,1.1
4.294789265403838e-09,5.189145304792396e-07,1.762231669288927e-09,-8.558285931798626e-07,2.983139567232054e-09,-5.406829937169355e-07,2.548654354926493e-09,6.236258103509085e-07,5.009197167083676e-09,-6.648670254802763e-07,2.603247359579759e-09,6.384832817507521e-07,4.399926972603056e-09,8.481978929143052e-07,3.180328546231412e-09,7.29481805010061e-07,4.294789265403838e-09,1.1
6.294789265403838e-09,-1.339147274415441e-07,1.971765437228387e-09,1.251835857297282e-06,3.355559441295002e-09,8.92196189471271e-07,2.948320161547671e-09,-1.93068447113013e-07,5.84243391260947e-09,1.040804473085627e-06,2.943962745778877e-09,-2.270842617692087e-07,4.939743157155965e-09,-4.612806220301149e-07,3.617488721417218e-09,-3.241502241664666e-07,6.294789265403838e-09,1.1
8.294789265403837e-09,5.173330533355009e-07,2.221144925388911e-09,-8.834623908400765e-07,3.769899803716783e-09,-4.946675286641698e-07,3.366525598617439e-09,5.732076461618444e-07,6.587241136487739e-09,-6.662825286020754e-07,3.416996232183795e-09,5.903509557575307e-07,5.755089743506253e-09,8.5176940231168e-07,4.214322576724004e-09,7.215824154153419e-07,8.294789265403837e-09,1.1
1e-08,-1.322007874038477e-07,2.558762031553426e-09,1.260252472123986e-06,4.266332536755495e-09,8.506096259042396e-07,3.769342759671013e-09,-1.600218462687177e-07,7.419332383005278e-09,1.039027956293637e-06,4.037703717495951e-09,-1.886944907447153e-07,6.58622416317314e-09,-4.655920424807861e-07,4.694802552119213e-09,-3.321963114053522e-07,1e-08,1.1
