/Vout (C=5e-14) X,/Vout (C=5e-14) Y,/Vout (C=1e-13) X,/Vout (C=1e-13) Y,/Vout (C=2e-13) X,/Vout (C=2e-13) Y,/Vout (C=3e-13) X,/Vout (C=3e-13) Y,/Vout (C=4e-13) X,/Vout (C=4e-13) Y,/Vout (C=5e-13) X,/Vout (C=5e-13) Y,/Vout (C=6e-13) X,/Vout (C=6e-13) Y,/Vout (C=7e-13) X,/Vout (C=7e-13) Y,/Vout (C=8e-13) X,/Vout (C=8e-13) Y,/Vout (C=9e-13) X,/Vout (C=9e-13) Y,/Vout (C=1e-12) X,/Vout (C=1e-12) Y,/Vout (C=1.1e-12) X,/Vout (C=1.1e-12) Y,/Vout (C=1.2e-12) X,/Vout (C=1.2e-12) Y,/Vin (C=5e-14) X,/Vin (C=5e-14) Y
7.040636613952282e-08,0.02889794553499738,7.060306724399557e-08,-0.002569532093966565,7.106938763969519e-08,0.003229734783894835,7.151989487260567e-08,0.01083380847737662,7.202079455447491e-08,0.2824223253999427,7.260520282556977e-08,1.098539567901986,7.296434528572875e-08,0.7076489425597438,7.375226702593873e-08,1.099930806497262,7.421940205321859e-08,1.099885268138415,7.475162936393203e-08,1.099975992876839,7.544651857699961e-08,1.100005224044771,7.617433938740967e-08,1.100019178780706,7.702177685736669e-08,1.099957804454669,7.040636613952282e-08,0
7.041349662304509e-08,0.1266791922378546,7.062654347286408e-08,0.004942292184241344,7.108918752601922e-08,0.04426328751984634,7.153230995808879e-08,0.02900610566753258,7.20365988054398e-08,0.4794601930134033,7.263635014797662e-08,1.098964432330319,7.298268599889696e-08,0.9105267972412313,7.383475095476267e-08,1.099922819546513,7.429727835366251e-08,1.099907523445916,7.485157375249319e-08,1.099903209774135,7.554313420915094e-08,1.099947203840441,7.643821724950474e-08,1.099960515787467,7.746477151415562e-08,1.100032296911928,7.041349662304509e-08,0
7.041876035342812e-08,0.2704251401497463,7.063386255380331e-08,0.01998690945111351,7.109962224498015e-08,0.1103660847384231,7.154380282205641e-08,0.06724408925436577,7.205329674743534e-08,0.7200523978928477,7.269591451498245e-08,1.099577039835391,7.299389307324545e-08,1.012294758558426,7.390117659762331e-08,1.099975296624924,7.437179342382687e-08,1.099974467465311,7.493617300033946e-08,1.100005282839912,7.573636547345359e-08,1.100016461875847,7.673063238103616e-08,1.100028010483633,7.790171511028696e-08,1.099965369428871,7.041876035342812e-08,0
7.042374561189529e-08,0.4594691202114036,7.063992322819286e-08,0.05359786749014615,7.1110575939122e-08,0.2481396333447292,7.155749922121181e-08,0.1664700682885242,7.206762100186748e-08,0.9283567291850695,7.274351132258311e-08,1.099885549197133,7.300630878218881e-08,1.072492346933847,7.397214338785952e-08,1.099957597080123,7.444468793296794e-08,1.099946585339577,7.502712706536042e-08,1.099940047215791,7.592695734956101e-08,1.099966454990929,7.717131024063848e-08,1.099967819949002,7.867741841784942e-08,1.100032694449918,7.042374561189529e-08,0
7.04274738939034e-08,0.6260835012230551,7.064779517665388e-08,0.1536100290749235,7.111961407105445e-08,0.4109981086995777,7.156844468395796e-08,0.2958670931055636,7.207598205743666e-08,1.022239171421653,7.276435358988634e-08,1.099902647271824,7.30163488963664e-08,1.088639529786156,7.411407696833194e-08,1.100001164638674,7.455545191484843e-08,1.100000111272376,7.520903519540235e-08,1.100022040966679,7.630814110177586e-08,1.100022934424274,7.771690761663786e-08,1.100029901650871,7.933870920892471e-08,1.099966917200912,7.04274738939034e-08,0
7.043274289033901e-08,0.8666462655713456,7.065389867146311e-08,0.2832419781925791,7.112821770436629e-08,0.5948209297321306,7.158323310134296e-08,0.5236626655943287,7.208489105669938e-08,1.074558128191766,7.280603812449282e-08,1.099929276194498,7.303011881518712e-08,1.09497216262043,7.430197972594938e-08,1.09997876677569,7.475067839347231e-08,1.099971271573495,7.542777178665009e-08,1.099961225782157,7.668727003783732e-08,1.09997435952167,7.854372872829376e-08,1.099969609039282,8e-08,1.100031541474746,7.043274289033901e-08,0
7.04365809392103e-08,0.9979103903167166,7.066214212725597e-08,0.5180348172939079,7.113800629037136e-08,0.8199214245120106,7.159641516779998e-08,0.7568387492163079,7.209293208782189e-08,1.090725881449651,7.284673158832694e-08,1.099951863724626,7.304018405411962e-08,1.096785540055031,7.454113238663784e-08,1.100011121754513,7.496914697367494e-08,1.100013891598451,7.572652715652974e-08,1.100029104114724,7.733679235374584e-08,1.100023738765493,7.927186436414688e-08,1.100030023506023,8.002230780681309e-08,1.100003323494784,7.04365809392103e-08,0
7.043952208763039e-08,1.054574003878167,7.067042637347289e-08,0.7943270143008117,7.114702792131606e-08,0.9968944554824186,7.160865063787274e-08,0.9629448670395214,7.210233164798107e-08,1.095594344469308,7.292811851599518e-08,1.09997020866183,7.305377407714595e-08,1.09784100194084,7.486013137113033e-08,1.099985542325156,7.528398649058269e-08,1.099980391537184,7.612039836010723e-08,1.099968151133009,7.811061470963496e-08,1.099976042657946,8e-08,1.099970559243602,8.005130078203772e-08,1.099994723330486,7.043952208763039e-08,0
7.044277744547177e-08,1.082133103845145,7.067705553333102e-08,0.9841106663594367,7.115354155448635e-08,1.066680984569283,7.161846963111013e-08,1.062014673699656,7.211026912558757e-08,1.096985177618002,7.303868431155215e-08,1.099987576521186,7.307768470940937e-08,1.098686242304152,7.531977517039602e-08,1.100012834625326,7.568664825966726e-08,1.100016906942907,7.667299428942709e-08,1.100030017962486,7.905530735481749e-08,1.100023326364507,8.002335853639554e-08,1.09999836525779,8.006579726965004e-08,1.099995015551706,7.044277744547177e-08,0
7.044667090451013e-08,1.092398253658895,7.068173597155942e-08,1.058972857864371,7.115912571700526e-08,1.088385640620476,7.162551069538551e-08,1.087461516374602,7.212040387568417e-08,1.097713640961739,7.319117716912053e-08,1.099992188973911,7.311192283510117e-08,1.099067772951178,7.597238206735864e-08,1.099986799753497,7.628454454383932e-08,1.099982406480524,7.746503761212575e-08,1.099969770453101,8e-08,1.099976602034588,8.005327716949558e-08,1.099999104097867,8.007718098278182e-08,1.099982197412218,7.044667090451013e-08,0
